                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9745,                 5.5007,                 4.3068,                0.00015,                0.06658,                0.00013,                  6e-05,                 3.8062,                 5.4219,                 4.1587,             0.00010005,             0.00010005,             0.00010005
                      2,                 3.7967,                 5.3507,                  4.253,                 0.0001,                0.06548,                0.00013,                  7e-05,                  3.805,                 5.4399,                 4.1573,             0.00019653,             0.00019653,             0.00019653
                      3,                 3.6625,                 5.2506,                 4.2053,                0.00029,                0.06769,                0.00029,                0.00015,                 3.8097,                 5.4695,                 4.1551,             0.00028245,             0.00028245,             0.00028245
                      4,                 3.5983,                 5.0265,                 4.1433,                0.00022,                0.06769,                0.00023,                0.00011,                  3.819,                  5.525,                 4.1585,             0.00035781,             0.00035781,             0.00035781
                      5,                 3.5149,                 4.7178,                 4.0057,                0.00029,                0.06769,                0.00026,                 0.0001,                 3.8437,                 5.5764,                   4.18,              0.0004226,              0.0004226,              0.0004226
                      6,                 3.4697,                 4.4854,                 3.8484,                0.00059,                0.11531,                0.00048,                0.00016,                 3.8798,                 5.6577,                  4.221,             0.00047682,             0.00047682,             0.00047682
                      7,                   3.32,                 4.3181,                 3.7155,                0.00038,                0.06769,                0.00036,                0.00015,                  3.874,                 5.5875,                 4.2194,              0.0004689,              0.0004689,              0.0004689
                      8,                  3.234,                 4.2775,                 3.5744,                0.00021,                0.06769,                0.00032,                0.00013,                  3.863,                 5.5456,                 4.2137,             0.00043588,             0.00043588,             0.00043588
                      9,                 3.1733,                 4.2098,                 3.4921,                0.00081,                0.04573,                0.00086,                0.00025,                 3.5666,                 5.0724,                 3.9884,             0.00040287,             0.00040287,             0.00040287
                     10,                 3.0266,                 4.1601,                 3.3986,                 0.7211,                0.01329,                0.00656,                0.00166,                 3.2007,                 4.7088,                 3.4659,             0.00036985,             0.00036985,             0.00036985
                     11,                 2.8084,                 4.5552,                 3.1992,                0.59065,                 0.0144,                 0.0083,                0.00264,                 3.0036,                 4.3171,                 3.2259,             0.00033683,             0.00033683,             0.00033683
                     12,                 2.8279,                 4.2894,                 3.0798,                 0.7419,                0.02676,                0.02272,                0.00608,                 2.8562,                 4.0517,                 3.0624,             0.00030382,             0.00030382,             0.00030382
                     13,                 2.7731,                 4.1713,                 3.0381,                0.72453,                0.01883,                0.00735,                0.00232,                 2.8188,                 3.9602,                 3.0932,              0.0002708,              0.0002708,              0.0002708
                     14,                 2.7318,                 4.1017,                 2.9672,                0.73187,                0.02547,                0.01469,                0.00548,                 2.7271,                 3.8257,                 2.9312,             0.00023779,             0.00023779,             0.00023779
                     15,                 2.7431,                 4.0409,                 2.9103,                0.74313,                 0.0323,                0.03031,                0.00974,                  2.819,                 4.2797,                 2.9396,             0.00020477,             0.00020477,             0.00020477
                     16,                 2.7586,                 4.0833,                 2.8864,                0.76683,                0.04005,                0.02556,                0.00788,                 2.7495,                 3.7131,                 2.8023,             0.00017175,             0.00017175,             0.00017175
                     17,                 2.7131,                 3.9397,                 2.8339,                0.88439,                0.02871,                0.02088,                0.00695,                 2.6885,                 3.6532,                 2.8044,             0.00013874,             0.00013874,             0.00013874
                     18,                 2.6992,                 3.8917,                 2.8382,                0.74291,                0.05113,                0.02104,                0.00798,                 2.6489,                 3.6729,                 2.7386,             0.00010572,             0.00010572,             0.00010572
                     19,                 2.6433,                 3.8026,                 2.7498,                0.76258,                0.04116,                0.02534,                0.01012,                 2.6244,                 3.5873,                 2.6991,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     20,                 2.6273,                 3.8279,                 2.7579,                0.76526,                 0.0451,                0.02556,                 0.0111,                 2.6138,                 3.5346,                 2.6878,             3.9687e-05,             3.9687e-05,             3.9687e-05
